Property	Label	RangeURI	Format	NotNull	Hidden	MvEnabled	Description
alternateEmail	Alternate Email	http://www.w3.org/2001/XMLSchema#string		FALSE	FALSE	FALSE
addressStreet1	Mailing Address 1	http://www.w3.org/2001/XMLSchema#string		FALSE	FALSE	FALSE	
addressStreet2	Mailing Address 2	http://www.w3.org/2001/XMLSchema#string		FALSE	FALSE	FALSE	
addressCity	City	http://www.w3.org/2001/XMLSchema#string		FALSE	FALSE	FALSE	
addressState	State	http://www.w3.org/2001/XMLSchema#string		FALSE	FALSE	FALSE	
addressZip	Zip	http://www.w3.org/2001/XMLSchema#string		FALSE	FALSE	FALSE	
location	Descriptive Location	http://www.w3.org/2001/XMLSchema#string		FALSE	FALSE	FALSE	
institution	Institution	http://www.w3.org/2001/XMLSchema#string		FALSE	FALSE	FALSE	
institutionOther	Other Institution	http://www.w3.org/2001/XMLSchema#string		FALSE	FALSE	FALSE	
phoneNumber	Phone Number	http://www.w3.org/2001/XMLSchema#string		FALSE	FALSE	FALSE	
mobileNumber	Mobile Number	http://www.w3.org/2001/XMLSchema#string		FALSE	FALSE	FALSE	
pagerNumber	Pager Number	http://www.w3.org/2001/XMLSchema#string		FALSE	FALSE	FALSE	
